Image Name,Focus Score (Daugman),Defocus Metric,Occlusion Percentage,Occlusion Score,Pixel Ratio,Estimated Pixels,Occluded Pixels,Pixel Count Score,Sharpness,Focus Score,Motion Blur Angle,Motion Blur Strength,Motion Blur Metric,Blur Score,Off-Angle Metric,Usable Area,Gray Level Spread,Iris Size,Dilation Metric,Dilation Score,Interlacing Score,Illumination Score,Lighting Score,Quality Score 1,Quality Score 2
C495_S1_I2.tiff,3.47,938305.0,81.73,0.96,0.7,3065.0,1297.0,4362.0,11.33,0.09,45.0,260.0,271983.07,16.5,3.01,43.91,5.71,37.68,74.89,0.99,51.8,0.04,56.79,0.65,0.69
C178_S2_I2.tiff,6.24,742254.0,100.14,0.96,0.66,2785.0,1462.0,4247.0,12.21,0.23,45.0,274.0,283065.13,13.5,2.58,48.7,5.68,38.68,71.62,0.99,52.59,0.04,38.38,0.66,0.68
C244_S2_I7.tiff,53.35,1870371.0,99.95,0.94,0.45,3281.0,4086.0,7367.0,19.44,0.68,45.0,278.0,278411.58,7.5,4.65,30.55,5.59,55.27,83.33,0.99,54.49,0.06,93.58,0.64,0.69
C175_S2_I5.tiff,46.46,3463177.0,75.11,0.9,0.62,7356.0,4450.0,11806.0,16.03,0.21,45.0,293.0,298707.98,13.5,4.18,57.56,6.58,68.61,65.15,1.0,51.41,0.1,492.73,0.65,0.69
C474_S1_I11.tiff,35.13,2181411.0,100.05,0.91,0.74,7583.0,2663.0,10246.0,17.3,0.51,45.0,289.0,264567.4,10.5,7.77,71.52,6.07,61.53,53.37,0.99,55.83,0.09,134.22,0.65,0.69
C70_S1_I9.tiff,51.27,2591259.0,57.67,0.91,0.91,9792.0,918.0,10710.0,18.57,0.76,45.0,282.0,297480.94,7.5,19.44,88.37,5.88,52.2,34.1,1.0,54.51,0.09,150.26,0.65,0.69
C49_S1_I7.tiff,35.18,851658.0,100.0,0.96,0.66,3350.0,1726.0,5076.0,20.34,0.34,45.0,287.0,290716.13,13.5,6.55,59.15,5.87,51.88,63.91,0.99,55.09,0.04,49.74,0.66,0.67
C158_S1_I2.tiff,67.13,1012920.0,90.33,0.97,0.22,790.0,2769.0,3559.0,22.41,0.75,45.0,290.0,263928.46,13.5,7.46,16.96,5.35,36.29,91.12,0.98,58.21,0.03,45.6,0.65,0.73
C330_S1_I3.tiff,11.36,935457.0,100.08,0.97,0.93,3678.0,264.0,3942.0,15.22,0.13,45.0,287.0,241817.31,7.5,11.44,92.98,5.97,39.69,26.49,1.0,54.61,0.03,62.77,0.65,0.66
C364_S1_I2.tiff,58.28,1829914.0,95.05,0.94,0.93,6357.0,491.0,6848.0,19.42,0.59,45.0,279.0,294463.64,7.5,18.57,96.68,6.64,69.67,18.22,1.0,56.05,0.06,213.97,0.64,0.73
C391_S1_I13.tiff,19.39,3546581.0,100.01,0.81,0.83,19117.0,3897.0,23014.0,16.25,0.44,135.0,288.0,289878.24,10.5,5.35,79.42,5.53,96.65,45.37,0.99,55.03,0.19,182.07,0.64,0.69
C358_S2_I15.tiff,8.83,5065416.0,100.12,0.82,0.86,18196.0,3072.0,21268.0,13.17,0.2,135.0,275.0,295783.07,10.5,7.17,85.67,5.65,111.15,37.86,1.0,51.45,0.18,365.04,0.65,0.73
C186_S1_I5.tiff,33.03,1110254.0,100.03,0.95,0.89,5423.0,673.0,6096.0,18.96,0.32,135.0,281.0,292423.52,13.5,15.42,89.29,6.04,47.85,32.73,1.0,54.7,0.05,71.48,0.64,0.66
C303_S2_I7.tiff,48.96,1794941.0,100.04,0.94,0.87,6712.0,1046.0,7758.0,20.68,0.27,135.0,273.0,319276.55,7.5,14.23,84.52,6.51,54.66,39.35,1.0,55.67,0.06,179.53,0.7,0.66
C234_S1_I6.tiff,34.29,1314031.0,100.06,0.96,0.91,4351.0,408.0,4759.0,20.41,0.16,45.0,273.0,298872.03,7.5,25.54,91.82,6.45,44.6,28.6,1.0,55.47,0.04,146.69,0.66,0.68
C51_S1_I4.tiff,85.54,864345.0,100.06,0.96,0.93,4567.0,353.0,4920.0,18.72,1.71,135.0,277.0,260814.73,10.5,22.84,94.14,5.32,47.71,24.22,1.0,53.51,0.04,37.47,0.65,0.72
C255_S1_I14.tiff,8.33,3190570.0,100.04,0.84,0.75,14574.0,4870.0,19444.0,12.31,0.22,135.0,289.0,253549.1,7.5,5.14,67.23,5.98,87.77,57.24,0.99,52.61,0.16,247.44,0.66,0.69
C85_S2_I2.tiff,71.86,930762.0,73.08,0.95,0.55,3609.0,2921.0,6530.0,15.82,1.22,45.0,289.0,283230.95,13.5,7.03,22.0,5.54,41.77,88.32,0.99,52.04,0.05,47.15,0.65,0.7
C284_S1_I10.tiff,35.37,1695156.0,100.04,0.91,0.9,10123.0,1163.0,11286.0,19.28,0.32,45.0,279.0,292897.69,10.5,5.16,81.94,5.85,67.41,42.49,1.0,54.69,0.09,139.91,0.63,0.71
C465_S1_I11.tiff,25.58,1622736.0,100.05,0.91,0.49,5329.0,5641.0,10970.0,17.53,0.43,135.0,284.0,265464.22,7.5,3.51,32.51,5.68,62.08,82.15,0.98,55.35,0.09,87.17,0.63,0.79
C264_S1_I13.tiff,2.74,307261.0,100.02,0.79,0.87,21356.0,3255.0,24611.0,10.91,0.59,45.0,291.0,192395.82,16.5,5.39,85.91,4.56,93.67,37.54,0.99,48.18,0.21,36.4,0.63,0.69
C298_S1_I2.tiff,13.15,300723.0,100.0,0.97,0.59,1999.0,1410.0,3409.0,15.96,0.19,135.0,282.0,234771.03,13.5,4.73,31.55,5.27,39.65,82.74,0.99,55.21,0.03,21.91,0.64,0.66
C233_S2_I1.tiff,6.11,889797.0,100.08,0.97,0.88,3352.0,472.0,3824.0,13.02,0.15,45.0,279.0,253287.44,13.5,6.63,84.22,5.35,38.35,39.72,1.0,52.85,0.03,36.63,0.65,0.67
C166_S2_I12.tiff,14.78,839296.0,100.07,0.93,0.92,8198.0,734.0,8932.0,15.89,0.37,135.0,289.0,246210.48,13.5,10.66,91.66,5.65,61.31,28.88,1.0,54.51,0.07,53.5,0.64,0.69
C390_S2_I1.tiff,9.47,583929.0,100.09,0.97,1.0,3428.0,9.0,3437.0,12.25,0.32,135.0,290.0,244557.67,7.5,187.37,99.87,5.02,38.83,3.64,1.0,53.9,0.03,24.17,0.65,0.72
C398_S1_I6.tiff,27.42,1174754.0,100.16,0.95,0.88,5568.0,747.0,6315.0,20.07,0.22,135.0,286.0,237149.01,13.5,12.4,76.92,5.9,46.95,48.04,1.0,55.03,0.05,67.06,0.64,0.7
C127_S1_I14.tiff,11.96,3161244.0,100.05,0.84,0.9,16994.0,1798.0,18792.0,11.84,0.55,135.0,292.0,223410.93,7.5,8.11,90.6,5.69,83.86,30.66,1.0,51.33,0.16,158.33,0.65,0.7
C9_S2_I14.tiff,53.32,1614080.0,100.03,0.85,0.59,10699.0,7516.0,18215.0,20.19,0.62,135.0,280.0,263351.96,13.5,1.74,55.3,5.58,85.39,66.86,0.98,53.9,0.15,91.87,0.67,0.75
C479_S1_I13.tiff,6.36,1865092.0,100.02,0.84,0.66,12886.0,6567.0,19453.0,12.69,0.28,135.0,288.0,265581.82,10.5,2.07,62.25,5.46,86.11,61.44,0.99,52.98,0.16,95.57,0.68,0.79
C126_S1_I5.tiff,20.62,507877.0,99.76,0.96,0.78,3877.0,1072.0,4949.0,18.54,0.18,135.0,286.0,258168.02,13.5,14.73,77.23,5.3,46.35,47.72,0.99,53.88,0.04,23.54,0.64,0.69
C149_S1_I15.tiff,9.25,951562.0,100.04,0.84,0.71,13637.0,5622.0,19259.0,13.68,0.28,135.0,274.0,287812.1,7.5,2.36,60.85,5.12,85.5,62.57,0.99,51.74,0.16,78.39,0.63,0.79
C7_S2_I4.tiff,56.31,1289470.0,93.42,0.95,0.94,5203.0,348.0,5551.0,19.46,0.35,135.0,285.0,285988.77,13.5,21.3,94.0,6.07,49.14,24.49,1.0,52.29,0.05,82.77,0.65,0.8
C389_S1_I14.tiff,8.81,3636068.0,100.09,0.84,0.83,15938.0,3368.0,19306.0,13.42,0.27,135.0,286.0,301031.32,10.5,5.59,63.49,5.71,85.3,60.42,1.0,52.37,0.16,242.37,0.66,0.73
C35_S1_I12.tiff,38.5,3128185.0,100.06,0.9,0.94,11280.0,673.0,11953.0,18.62,0.3,45.0,277.0,281636.66,4.5,10.84,94.39,6.8,67.15,23.68,1.0,54.63,0.1,581.54,0.64,0.74
C241_S1_I13.tiff,23.28,3069800.0,100.03,0.82,0.53,11356.0,10126.0,21482.0,17.24,0.43,135.0,266.0,292428.14,13.5,4.03,46.91,5.47,93.17,72.87,0.99,54.29,0.18,154.75,0.68,0.73
C22_S1_I1.tiff,8.24,865695.0,100.05,0.96,0.89,3943.0,475.0,4418.0,14.45,0.43,135.0,281.0,280196.19,10.5,6.42,89.47,6.12,42.46,32.44,1.0,56.34,0.04,57.08,0.64,0.68
C145_S1_I3.tiff,2.83,591742.0,100.09,0.96,0.55,2495.0,2041.0,4536.0,12.18,0.41,135.0,274.0,262623.1,7.5,2.24,22.3,5.49,40.12,88.15,0.99,53.09,0.04,31.45,0.64,0.68
C398_S1_I12.tiff,44.64,1868348.0,100.02,0.89,0.89,11572.0,1358.0,12930.0,23.14,0.63,135.0,292.0,230994.34,10.5,6.54,85.9,5.55,66.91,37.56,1.0,58.37,0.11,90.31,0.65,0.82
C101_S1_I15.tiff,5.42,3004814.0,100.03,0.84,0.75,14646.0,4767.0,19413.0,12.68,0.2,135.0,259.0,303891.33,4.5,5.29,64.06,5.6,85.07,59.95,0.99,53.21,0.16,165.56,0.64,0.86
C377_S2_I11.tiff,10.23,1290518.0,100.02,0.89,0.54,7131.0,6075.0,13206.0,15.95,0.33,135.0,290.0,274519.97,13.5,2.76,42.32,5.31,70.85,75.95,0.98,55.01,0.11,92.43,0.64,0.78
C76_S1_I6.tiff,70.46,1496115.0,74.44,0.94,0.34,2411.0,4601.0,7012.0,20.69,1.03,45.0,290.0,289226.86,7.5,5.7,10.14,6.2,44.09,94.79,0.99,57.03,0.06,174.16,0.64,0.71
C512_S1_I3.tiff,3.96,221845.0,100.06,0.97,0.9,3169.0,347.0,3516.0,11.61,0.2,45.0,289.0,232748.95,10.5,5.83,90.15,5.09,41.11,31.39,1.0,50.92,0.03,13.3,0.65,0.67
C433_S2_I13.tiff,43.05,4382799.0,100.02,0.82,0.93,19628.0,1475.0,21103.0,20.98,0.51,45.0,276.0,271524.48,7.5,9.44,93.39,6.36,89.91,25.71,1.0,55.33,0.18,394.44,0.73,0.73
C337_S1_I3.tiff,4.91,553514.0,100.07,0.97,0.92,3738.0,312.0,4050.0,12.66,0.38,135.0,284.0,259034.73,10.5,11.45,92.13,5.65,39.58,28.05,1.0,52.28,0.03,30.18,0.64,0.68
C8_S1_I15.tiff,41.31,4055768.0,100.08,0.87,0.85,12897.0,2360.0,15257.0,19.62,0.43,135.0,276.0,271614.8,10.5,8.65,84.7,6.56,82.22,39.12,1.0,55.85,0.13,507.66,0.64,0.71
C176_S1_I14.tiff,69.0,4364454.0,98.55,0.86,0.8,13322.0,3304.0,16626.0,19.41,0.67,135.0,277.0,287256.48,10.5,4.77,75.04,5.87,86.51,49.96,1.0,54.68,0.14,305.97,0.64,0.72
C318_S2_I6.tiff,10.65,1038806.0,99.14,0.94,0.29,2208.0,5311.0,7519.0,14.87,0.2,45.0,275.0,272546.36,16.5,2.09,50.0,6.22,60.92,70.71,0.98,54.9,0.06,105.43,0.65,0.75
C256_S2_I2.tiff,3.24,548291.0,100.08,0.97,0.95,3565.0,187.0,3752.0,10.76,0.19,135.0,289.0,246785.14,10.5,11.92,94.72,5.38,38.99,22.99,1.0,50.69,0.03,22.84,0.66,0.68
C276_S1_I14.tiff,0.44,0.0,99.99,0.84,0.98,18758.0,351.0,19109.0,6.18,1.31,135.0,285.0,199944.65,16.5,15.64,97.62,3.66,87.18,15.44,1.0,43.15,0.16,4.85,0.67,0.69
C49_S1_I14.tiff,26.93,1348364.0,100.04,0.87,0.94,15077.0,928.0,16005.0,12.69,0.51,135.0,283.0,243813.24,7.5,9.29,89.46,5.5,77.39,32.47,1.0,50.74,0.13,108.26,0.64,0.8
C441_S2_I7.tiff,84.86,1706141.0,100.05,0.93,0.51,4167.0,3995.0,8162.0,22.23,0.96,45.0,274.0,287841.94,4.5,6.12,32.12,6.06,54.47,82.39,0.99,55.7,0.07,198.29,0.64,0.68
C288_S1_I10.tiff,15.37,1468299.0,100.0,0.95,0.8,5165.0,1274.0,6439.0,17.03,0.2,135.0,288.0,235628.08,7.5,4.52,91.08,6.49,72.94,29.87,1.0,54.96,0.05,136.34,0.64,0.68
C155_S1_I13.tiff,26.7,910253.0,100.01,0.82,0.66,13941.0,7249.0,21190.0,16.54,0.65,45.0,271.0,281538.07,7.5,4.61,64.26,5.08,99.72,59.78,0.98,54.15,0.18,70.83,0.64,0.7
C239_S1_I13.tiff,12.75,6052029.0,100.09,0.79,0.75,19397.0,6306.0,25703.0,14.22,0.28,135.0,271.0,300898.15,10.5,6.64,71.92,5.82,99.78,52.99,0.99,52.93,0.21,372.93,0.63,0.75
C101_S2_I5.tiff,3.31,460289.0,100.04,0.96,0.87,4175.0,621.0,4796.0,12.19,0.3,135.0,278.0,246973.57,13.5,9.41,87.48,5.4,41.94,35.39,0.99,54.01,0.04,22.7,0.64,0.68
C370_S1_I11.tiff,41.93,1157461.0,97.99,0.91,0.8,8489.0,2171.0,10660.0,19.03,0.43,45.0,290.0,271693.45,16.5,6.14,77.65,5.71,67.94,47.28,0.99,56.62,0.09,80.13,0.67,0.8
C293_S1_I11.tiff,82.81,2159156.0,100.05,0.92,0.91,8981.0,858.0,9839.0,19.47,0.47,135.0,276.0,265103.99,10.5,13.71,87.31,6.1,62.51,35.62,1.0,57.44,0.08,167.6,0.65,0.78
C194_S1_I8.tiff,46.5,1622370.0,100.06,0.93,0.89,7476.0,919.0,8395.0,22.5,0.53,45.0,287.0,271628.92,7.5,15.98,90.08,5.66,55.93,31.49,1.0,55.61,0.07,78.58,0.64,0.8
C213_S1_I15.tiff,11.84,4958424.0,99.27,0.82,0.63,13463.0,8048.0,21511.0,14.24,0.21,135.0,290.0,295318.58,4.5,3.32,60.62,5.5,96.62,62.75,0.99,53.05,0.18,504.42,0.64,0.82
C422_S1_I4.tiff,8.9,1258188.0,100.05,0.95,0.93,5447.0,410.0,5857.0,13.94,0.19,45.0,291.0,240965.27,7.5,7.29,92.95,5.87,45.65,26.56,1.0,54.69,0.05,70.53,0.64,0.75
C32_S1_I1.tiff,20.95,1289939.0,100.02,0.96,0.94,4595.0,315.0,4910.0,16.64,0.19,45.0,286.0,296626.83,7.5,19.8,93.86,6.52,42.45,24.78,1.0,56.09,0.04,144.81,0.64,0.67
C243_S1_I10.tiff,62.9,3162936.0,99.9,0.89,0.69,9248.0,4174.0,13422.0,22.84,0.45,135.0,288.0,270546.76,10.5,6.07,61.84,5.81,71.98,61.78,0.99,59.56,0.11,195.65,0.64,0.72
C510_S1_I10.tiff,24.36,3835940.0,100.05,0.88,0.95,13862.0,759.0,14621.0,19.19,0.49,135.0,280.0,272976.12,7.5,9.75,94.95,6.14,70.97,22.47,1.0,55.13,0.12,372.39,0.65,0.69
C94_S2_I9.tiff,14.74,1552939.0,100.03,0.95,0.93,5997.0,420.0,6417.0,15.35,0.31,45.0,289.0,264310.02,13.5,15.75,93.79,5.57,49.59,24.93,1.0,55.94,0.05,82.85,0.64,0.66
C226_S2_I8.tiff,8.47,365649.0,100.09,0.94,0.88,6580.0,896.0,7476.0,12.28,0.45,135.0,268.0,219506.48,10.5,4.45,89.31,5.05,50.07,32.69,0.99,52.69,0.06,26.7,0.64,0.69
C290_S1_I2.tiff,23.86,792696.0,100.08,0.97,0.87,3180.0,461.0,3641.0,18.17,0.21,135.0,286.0,269979.63,7.5,15.1,88.15,6.03,39.88,34.43,1.0,54.45,0.03,51.5,0.66,0.68
C162_S1_I11.tiff,40.4,957493.0,100.07,0.91,0.63,6769.0,3926.0,10695.0,22.03,0.48,135.0,280.0,285461.56,7.5,4.13,53.65,5.36,63.13,68.08,0.99,54.58,0.09,62.51,0.64,0.81
C501_S1_I1.tiff,12.29,539265.0,100.59,0.96,0.51,2719.0,2576.0,5295.0,10.69,1.17,45.0,277.0,229755.93,4.5,8.06,70.51,5.44,62.02,54.31,0.98,50.04,0.04,33.71,0.64,0.72
C226_S2_I5.tiff,19.65,1255483.0,100.21,0.96,0.91,4748.0,449.0,5197.0,16.46,0.31,135.0,282.0,257488.96,10.5,21.69,91.38,5.9,42.87,29.37,1.0,53.99,0.04,65.98,0.64,0.67
C496_S1_I10.tiff,13.81,2833354.0,76.39,0.9,0.95,11395.0,621.0,12016.0,15.74,0.23,45.0,283.0,295821.28,13.5,11.3,95.71,6.19,63.81,20.72,1.0,54.63,0.1,230.02,0.65,0.81
C425_S2_I4.tiff,62.15,1488194.0,98.52,0.95,0.79,4437.0,1176.0,5613.0,17.43,0.4,45.0,281.0,266006.65,10.5,12.49,78.57,5.53,46.3,46.29,1.0,53.28,0.05,77.59,0.64,0.69
C71_S1_I15.tiff,21.98,954411.0,100.05,0.83,0.78,15830.0,4367.0,20197.0,15.04,0.51,45.0,282.0,264941.24,7.5,5.26,71.31,4.77,84.12,53.56,0.99,52.89,0.17,74.24,0.63,0.75
C330_S1_I10.tiff,50.98,3082918.0,100.04,0.89,0.92,12659.0,1083.0,13742.0,24.24,0.76,45.0,275.0,293544.15,7.5,7.48,92.39,5.96,71.95,27.59,1.0,57.93,0.11,203.2,0.64,0.71
C281_S1_I15.tiff,1.31,244301.0,99.93,0.78,0.63,16263.0,9601.0,25864.0,8.89,0.35,135.0,289.0,213331.58,10.5,1.7,43.08,4.28,94.4,75.45,0.97,47.48,0.22,30.98,0.64,0.71
C44_S1_I10.tiff,30.26,2291074.0,100.06,0.92,0.89,8623.0,1080.0,9703.0,19.39,0.22,135.0,278.0,300241.92,10.5,14.34,91.12,6.51,68.02,29.8,1.0,53.84,0.08,259.88,0.64,0.71
C449_S2_I3.tiff,1.88,154603.0,100.34,0.95,0.23,1321.0,4301.0,5622.0,10.03,0.71,45.0,291.0,252508.02,7.5,3.24,49.48,4.8,54.1,71.08,0.94,49.46,0.05,6.78,0.65,0.73
C189_S1_I5.tiff,21.38,833532.0,90.12,0.95,0.15,847.0,4934.0,5781.0,16.15,0.5,45.0,283.0,258122.28,10.5,5.81,11.23,5.49,47.53,94.22,0.97,53.13,0.05,41.23,0.64,0.74
C234_S1_I2.tiff,11.63,2049902.0,100.59,0.94,0.73,5316.0,1990.0,7306.0,14.67,0.15,45.0,274.0,305550.51,10.5,3.61,76.76,6.87,67.74,48.21,1.0,53.61,0.06,282.73,0.66,0.68
C225_S1_I15.tiff,24.28,3990021.0,100.03,0.84,0.87,16756.0,2439.0,19195.0,16.91,0.33,45.0,287.0,291207.09,10.5,9.49,85.41,5.48,86.34,38.2,1.0,52.94,0.16,166.6,0.65,0.7
C86_S1_I15.tiff,65.05,5500177.0,99.87,0.83,0.56,11388.0,8795.0,20183.0,23.41,0.4,135.0,288.0,339763.59,7.5,5.06,46.77,6.42,90.01,72.96,0.99,55.4,0.17,761.78,0.64,0.72
C330_S1_I11.tiff,43.91,2644467.0,100.03,0.88,0.92,12766.0,1062.0,13828.0,23.86,0.69,135.0,269.0,244188.7,10.5,9.63,90.93,5.45,69.05,30.12,1.0,58.7,0.12,119.92,0.68,0.83
C108_S2_I4.tiff,9.91,969642.0,100.09,0.95,0.88,4939.0,697.0,5636.0,14.36,0.18,45.0,288.0,250441.28,10.5,5.41,88.26,5.56,45.53,34.26,1.0,52.97,0.05,42.05,0.64,0.68
C451_S2_I13.tiff,9.47,898087.0,100.02,0.82,0.67,14553.0,7030.0,21583.0,15.16,0.56,135.0,280.0,257415.95,10.5,4.9,66.12,5.19,91.08,58.21,0.98,53.89,0.18,78.99,0.63,0.8
C294_S1_I3.tiff,86.85,1053400.0,100.1,0.97,0.93,3689.0,262.0,3951.0,21.74,0.5,45.0,290.0,268771.26,7.5,28.56,93.57,5.85,39.91,25.37,1.0,54.8,0.03,67.15,0.64,0.72
C254_S1_I3.tiff,15.42,869969.0,100.05,0.97,0.89,3330.0,411.0,3741.0,15.65,0.16,135.0,279.0,257995.27,7.5,11.26,84.69,6.21,37.85,39.12,1.0,54.84,0.03,59.37,0.65,0.66
C187_S1_I1.tiff,4.87,738388.0,100.02,0.96,0.92,4123.0,381.0,4504.0,12.08,0.2,45.0,276.0,240169.5,10.5,13.64,91.37,5.46,40.11,29.37,1.0,52.26,0.04,30.28,0.64,0.7
C320_S2_I12.tiff,11.93,2806623.0,100.08,0.91,0.86,9315.0,1465.0,10780.0,14.84,0.22,45.0,290.0,285770.44,7.5,5.81,87.51,5.84,63.64,35.34,1.0,54.01,0.09,250.5,0.64,0.69
C374_S1_I6.tiff,27.03,1223650.0,100.09,0.95,0.24,1293.0,4125.0,5418.0,19.22,0.35,135.0,280.0,254562.73,7.5,2.24,16.96,6.01,46.23,91.13,0.98,56.37,0.05,64.05,0.64,0.7
C223_S1_I3.tiff,9.89,610770.0,100.07,0.96,0.76,3403.0,1104.0,4507.0,13.74,0.24,45.0,271.0,292800.12,4.5,10.9,54.32,5.59,42.06,67.59,0.99,53.14,0.04,42.06,0.64,0.69
C89_S1_I10.tiff,35.31,2475729.0,100.08,0.9,0.98,11402.0,220.0,11622.0,18.05,0.37,135.0,284.0,307647.86,13.5,33.37,98.94,5.6,71.6,10.28,1.0,54.91,0.1,137.5,0.65,0.73
C103_S2_I4.tiff,5.16,985181.0,100.03,0.95,0.94,5431.0,317.0,5748.0,12.41,0.31,135.0,276.0,251023.51,7.5,13.61,94.54,5.33,45.98,23.38,1.0,53.31,0.05,40.34,0.64,0.71
C328_S1_I13.tiff,28.08,2618053.0,100.03,0.84,0.71,13986.0,5625.0,19611.0,17.39,0.48,135.0,289.0,274222.46,7.5,2.92,61.48,5.57,89.07,62.07,0.99,55.61,0.16,142.27,0.64,0.85
C111_S2_I5.tiff,7.71,1253552.0,100.1,0.96,0.93,4781.0,356.0,5137.0,13.37,0.1,45.0,280.0,245110.06,10.5,23.02,93.52,6.16,44.52,25.45,1.0,51.43,0.04,98.45,0.65,0.68
C189_S1_I15.tiff,31.22,5363393.0,100.02,0.81,0.54,12029.0,10228.0,22257.0,15.77,0.33,135.0,287.0,289578.22,7.5,4.18,41.02,5.88,91.54,76.8,0.99,53.57,0.19,361.7,0.63,0.75
C203_S1_I11.tiff,45.82,1965417.0,100.04,0.88,0.44,6153.0,7954.0,14107.0,21.35,0.46,45.0,290.0,309656.4,10.5,4.68,34.25,5.7,75.55,81.09,0.98,57.73,0.12,120.02,0.65,0.82
C238_S1_I6.tiff,55.24,1447425.0,100.02,0.96,0.96,4925.0,204.0,5129.0,23.31,0.37,45.0,292.0,292721.93,10.5,30.38,95.52,5.97,42.7,21.18,1.0,56.74,0.04,186.37,0.65,0.67
C148_S1_I6.tiff,68.62,2541452.0,59.44,0.93,0.48,4285.0,4704.0,8989.0,23.03,0.42,135.0,289.0,305599.83,7.5,7.94,12.72,6.48,45.34,93.43,0.99,57.0,0.07,239.72,0.64,0.68
C89_S1_I14.tiff,8.69,2265765.0,100.03,0.86,0.91,14771.0,1543.0,16314.0,13.31,0.24,135.0,283.0,298001.79,4.5,7.92,83.96,5.36,82.49,40.05,1.0,51.63,0.14,173.64,0.64,0.78
C296_S1_I7.tiff,72.24,2088959.0,88.85,0.92,0.67,6477.0,3262.0,9739.0,20.76,0.81,135.0,292.0,314206.14,7.5,6.26,59.83,6.02,58.21,63.38,0.99,57.42,0.08,111.87,0.64,0.72
C452_S1_I6.tiff,21.65,314445.0,100.08,0.95,0.97,5879.0,200.0,6079.0,16.19,0.42,45.0,284.0,265113.27,7.5,9.9,96.2,5.16,47.4,19.5,1.0,55.32,0.05,19.04,0.64,0.69
